Title,Artist,Difficulty,Level,Genre,SdvxIn_Link,Score,Lamp,Grade,Youtube_Link
chaplet,DJ TOTTO,NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=chaplet%20NOV%20sdvx
天鯨譚,テヅカ x otoshi.b,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%A4%A9%E9%AF%A8%E8%AD%9A%20NOV%20sdvx
Plan 8,Ryu☆,NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Plan%208%20NOV%20sdvx
"CAKE,Cake'n Cake!",苺咲べりぃ,NOV,4.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=CAKE%2CCake%27n%20Cake%21%20NOV%20sdvx
Blue Diamond,青龍改,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Blue%20Diamond%20NOV%20sdvx
ИEXTAGE,polysha&Ashrount,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%D0%98EXTAGE%20NOV%20sdvx
イガク,原口沙輔,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%A4%E3%82%AC%E3%82%AF%20NOV%20sdvx
いますぐ輪廻,なきそ,NOV,1.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%84%E3%81%BE%E3%81%99%E3%81%90%E8%BC%AA%E5%BB%BB%20NOV%20sdvx
L (SDVX ver.),Ice,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=L%20%28SDVX%20ver.%29%20NOV%20sdvx
L2 -Reminiscence- (SDVX ver.),Ice,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=L2%20-Reminiscence-%20%28SDVX%20ver.%29%20NOV%20sdvx
お返事まだカナ？おじさん構文！,吉本おじさん,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%8A%E8%BF%94%E4%BA%8B%E3%81%BE%E3%81%A0%E3%82%AB%E3%83%8A%EF%BC%9F%E3%81%8A%E3%81%98%E3%81%95%E3%82%93%E6%A7%8B%E6%96%87%EF%BC%81%20NOV%20sdvx
稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall,りりぃろっくfeat.ЄИ1GM4&桃寝ちのい,NOV,6.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E7%A8%B2%E7%94%B0%E5%A7%AB%E6%A7%98%E3%81%AB%E5%8F%B1%E3%82%89%E3%82%8C%E3%81%A1%E3%82%83%E3%81%84%E3%81%BE%E3%81%97%E3%81%9F%EF%BC%83%20%EF%BD%9E%20Romantic%20Shortfall%20NOV%20sdvx
サイエンス,MIMI,NOV,2.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9%20NOV%20sdvx
Synthesis.,tn-shi,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Synthesis.%20NOV%20sdvx
snooze,wotaku feat. SHIKI,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=snooze%20NOV%20sdvx
777 (Vocal ver.),RoughSketch feat.ななひら,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=777%20%28Vocal%20ver.%29%20NOV%20sdvx
Celestial Conquest,xi,NOV,7.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Celestial%20Conquest%20NOV%20sdvx
"Zany Arcadia ""E""",天束 vs. siromaru,NOV,7.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Zany%20Arcadia%20%22E%22%20NOV%20sdvx
デッドライン症候群,irom,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%87%E3%83%83%E3%83%89%E3%83%A9%E3%82%A4%E3%83%B3%E7%97%87%E5%80%99%E7%BE%A4%20NOV%20sdvx
Necromantic,暁Records,NOV,3.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Necromantic%20NOV%20sdvx
ハートインワンダーランド,森羅万象,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%8F%E3%83%BC%E3%83%88%E3%82%A4%E3%83%B3%E3%83%AF%E3%83%B3%E3%83%80%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%20NOV%20sdvx
Black Out,Hommarju,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Black%20Out%20NOV%20sdvx
"Help me, ERINNNNNN!!",ビートまりお,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Help%20me%2C%20ERINNNNNN%21%21%20NOV%20sdvx
"Help me, ERINNNNNN!!",ビートまりお,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Help%20me%2C%20ERINNNNNN%21%21%20NOV%20sdvx
Massive Strength,Riz,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Massive%20Strength%20NOV%20sdvx
モンダイナイトリッパー！,名取さな,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%A2%E3%83%B3%E3%83%80%E3%82%A4%E3%83%8A%E3%82%A4%E3%83%88%E3%83%AA%E3%83%83%E3%83%91%E3%83%BC%EF%BC%81%20NOV%20sdvx
ンポロロッカ,かめりあ,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%B3%E3%83%9D%E3%83%AD%E3%83%AD%E3%83%83%E3%82%AB%20NOV%20sdvx
双星の冒険録,やどりぎ,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%8F%8C%E6%98%9F%E3%81%AE%E5%86%92%E9%99%BA%E9%8C%B2%20NOV%20sdvx
天泣,"BEMANI Sound Team ""meteorologists""",NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%A4%A9%E6%B3%A3%20NOV%20sdvx
Blessed Horizon,Qutabire,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Blessed%20Horizon%20NOV%20sdvx
めた・メタ？ひまわり＊パンチ,ひまわり＊パンチ,NOV,4.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%81%E3%81%9F%E3%83%BB%E3%83%A1%E3%82%BF%EF%BC%9F%E3%81%B2%E3%81%BE%E3%82%8F%E3%82%8A%EF%BC%8A%E3%83%91%E3%83%B3%E3%83%81%20NOV%20sdvx
#Evil_Signs_of_Bloodlines,RoughSkreamZ,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%23Evil_Signs_of_Bloodlines%20NOV%20sdvx
555 (Please call me “Go! Go! Go!”),RoughSketch,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=555%20%28Please%20call%20me%20%E2%80%9CGo%21%20Go%21%20Go%21%E2%80%9D%29%20NOV%20sdvx
Temporal Veil,Gardens,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Temporal%20Veil%20NOV%20sdvx
フラッフィー・アドベンチャー！,みーに feat. まより,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%95%E3%83%A9%E3%83%83%E3%83%95%E3%82%A3%E3%83%BC%E3%83%BB%E3%82%A2%E3%83%89%E3%83%99%E3%83%B3%E3%83%81%E3%83%A3%E3%83%BC%EF%BC%81%20NOV%20sdvx
Divine Ether,あまみ×ひなみ,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Divine%20Ether%20NOV%20sdvx
Sunlit toybox,Juggernaut. + しーけー,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Sunlit%20toybox%20NOV%20sdvx
