Genre,Title,Artist,NOV,ADV,EXH,MXM
その他,Excelsia,ak+q,6,13,16,18.4
その他,cyanotype,Synthion,6,13,16,18.0
その他,G.L.I.T.C.H.,Yuta Imai feat. 重音テト,6,13,16,18.4
BEMANI,Thunderstorm,nagomu tamaki,5,13,16,18.1
BEMANI,RUINA,Dustup VS MAX MAXIMIZER,7,14,17.5,19.8
BEMANI,Roar of Chronos,"BEMANI Sound Team ""KE!JU""",6,12,15,18.7
BEMANI,Astra Blaze,MK,6,13,16,18.5
FLOOR,ASTRL GG,天束 vs. siromaru,7,14,17.5,19.7
BEMANI,COLOR BURST,Rainy。,5,11,14,17
FLOOR,KISKIL-LILLA,Laur,8,15,18.6,20.5
BEMANI,King of Tribe,Numb'n'dub,6,13,16,18.4
BEMANI,GO!,Juggernaut.,6,13,16,18.6
BEMANI,SILKY BRAVE,DJ Shimamura,5,12,15,17
FLOOR,No→to,打打だいず feat. 月乃,7,14,17,19.5
BEMANI,HORIZON BEATZ,SOUND HOLIC feat. Nana Takahashi,5,11,14,17
FLOOR,Masterstroke,xi,7,14,17.5,19.8
BEMANI,Meteor☆Shower,Tatsunoshin,6,13,16,18.4
BEMANI,RIZING-GAMERS.,BlackY,5,12,15,18.3
その他,シュガーリィ♡メルトダウン,AXURA × 星名はる,6,13,16,18.4
その他,Dot to Dot,Mameyudoufu feat. shully,5,12,15,18.0
FLOOR,Circumzenith Arc,Aoi,7,14,17.5,19.7
FLOOR,Down with your Love,Juggernaut.,7,14,17,19.3
ひなビタ♪/バンめし♪,華麗なる！音戯探偵ひなビタ♫,音戯探偵ひなビタ♫,3,10,14,18.5
その他,シグナライズ,muyu,6,14,16,18.4
FLOOR,XELENOPHOEBEA,qfeileadh,7,14,17,19.5
その他,Baphomet,Laur,7,14,17.5,19.7
その他,Moonlit Blue,Reku Mochizuki,5,12,16,18.1
FLOOR,DANGER XLOZE,EYEN(seatrus+kuro),7,14,17,19.4
ボーカロイド,えんじぇる☆てすと！,irucaice feat. 初音ミク,3,9,13,18.4
FLOOR,ShowDawn,Capchii × Uzumaki,7,14,17,19.4
ボーカロイド,"Pick up, Me!",Capchii feat. 初音ミク,7,14,17.5,19.4
ボーカロイド,ミスクレイジースピード,cosMo＠暴走P feat. 初音ミク,7,13,16,18.7
BEMANI,Anti-Matter,Orbit1 & Milo,6,13,16,18.6
BEMANI,Glitch N Ride,Eagle,7,14,17,19.2
BEMANI,9th Outburst,Zekk,5,12,15,18.1
BEMANI,fixer,PHQUASE vs. dj TAKA,7,14,17,19.7
BEMANI,Mermaid girl,Cream puff,4,10,14,17
FLOOR,Veins Resonance,めと（Metomate）,7,13,16,19.4
BEMANI,Votum stellarum -forest #25 RMX-,iconoclasm,5,13,16,18.1
FLOOR,華麗なる一撃,TAKIO feat. 駄々子,7,13,16,19.2
BEMANI,紅焔,PON,5,12,15,17.5
BEMANI,Zt!ri△,m@sumi vs RoughSketch,7,14,17.5,19.5
BEMANI,chaplet,DJ TOTTO,6,13,16,18.2
FLOOR,天鯨譚,テヅカ x otoshi.b,6,13,16,18.8
BEMANI,Plan 8,Ryu☆,7,14,17.5,19.3
FLOOR,"CAKE,Cake'n Cake!",苺咲べりぃ,4,12,15,18.2
SDVXオリジナル,Blue Diamond,青龍改,7,14,17.5,19.8
FLOOR,ИEXTAGE,polysha&Ashrount,6,13,16,18.8
その他,イガク,原口沙輔,3,12,15,18.3
ボーカロイド,いますぐ輪廻,なきそ,1,8,13,17
その他,L (SDVX ver.),Ice,6,12,15,18.6
その他,L2 -Reminiscence- (SDVX ver.),Ice,7,14,17.5,19.3
その他,お返事まだカナ？おじさん構文！,吉本おじさん,3,12,15,18.7
東方アレンジ,稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall,りりぃろっくfeat.ЄИ1GM4&桃寝ちのい,6,13,16,18.5
その他,サイエンス,MIMI,2,11,14,17
