Title,Artist,Difficulty,Level,Genre
Down with your Love,Juggernaut.,NOV,7.0,FLOOR
華麗なる！音戯探偵ひなビタ♫,音戯探偵ひなビタ♫,NOV,3.0,ひなビタ♪/バンめし♪
シグナライズ,muyu,NOV,6.0,その他
XELENOPHOEBEA,qfeileadh,NOV,7.0,FLOOR
Baphomet,Laur,NOV,7.0,その他
Moonlit Blue,Reku Mochizuki,NOV,5.0,その他
DANGER XLOZE,EYEN(seatrus+kuro),NOV,7.0,FLOOR
えんじぇる☆てすと！,irucaice feat. 初音ミク,NOV,3.0,ボーカロイド
ShowDawn,Capchii × Uzumaki,NOV,7.0,FLOOR
"Pick up, Me!",Capchii feat. 初音ミク,NOV,7.0,ボーカロイド
ミスクレイジースピード,cosMo＠暴走P feat. 初音ミク,NOV,7.0,ボーカロイド
Anti-Matter,Orbit1 & Milo,NOV,6.0,BEMANI
Glitch N Ride,Eagle,NOV,7.0,BEMANI
9th Outburst,Zekk,NOV,5.0,BEMANI
fixer,PHQUASE vs. dj TAKA,NOV,7.0,BEMANI
Mermaid girl,Cream puff,NOV,4.0,BEMANI
Veins Resonance,めと（Metomate）,NOV,7.0,FLOOR
Votum stellarum -forest #25 RMX-,iconoclasm,NOV,5.0,BEMANI
華麗なる一撃,TAKIO feat. 駄々子,NOV,7.0,FLOOR
紅焔,PON,NOV,5.0,BEMANI
Zt!ri△,m@sumi vs RoughSketch,NOV,7.0,BEMANI
chaplet,DJ TOTTO,NOV,6.0,BEMANI
天鯨譚,テヅカ x otoshi.b,NOV,6.0,FLOOR
Plan 8,Ryu☆,NOV,7.0,BEMANI
"CAKE,Cake'n Cake!",苺咲べりぃ,NOV,4.0,FLOOR
Blue Diamond,青龍改,NOV,7.0,SDVXオリジナル
ИEXTAGE,polysha&Ashrount,NOV,6.0,FLOOR
イガク,原口沙輔,NOV,3.0,その他
いますぐ輪廻,なきそ,NOV,1.0,ボーカロイド
L (SDVX ver.),Ice,NOV,6.0,その他
L2 -Reminiscence- (SDVX ver.),Ice,NOV,7.0,その他
お返事まだカナ？おじさん構文！,吉本おじさん,NOV,3.0,その他
稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall,りりぃろっくfeat.ЄИ1GM4&桃寝ちのい,NOV,6.0,東方アレンジ
サイエンス,MIMI,NOV,2.0,その他
Synthesis.,tn-shi,NOV,6.0,その他
snooze,wotaku feat. SHIKI,NOV,3.0,その他
777 (Vocal ver.),RoughSketch feat.ななひら,NOV,7.0,その他
Celestial Conquest,xi,NOV,7.0,東方アレンジ
"Zany Arcadia ""E""",天束 vs. siromaru,NOV,7.0,FLOOR
デッドライン症候群,irom,NOV,3.0,その他
Necromantic,暁Records,NOV,3.0,東方アレンジ
ハートインワンダーランド,森羅万象,NOV,5.0,東方アレンジ
Black Out,Hommarju,NOV,6.0,FLOOR
"Help me, ERINNNNNN!!",ビートまりお,NOV,5.0,東方アレンジ
Massive Strength,Riz,NOV,5.0,FLOOR
モンダイナイトリッパー！,名取さな,NOV,4.0,その他
ンポロロッカ,かめりあ,NOV,5.0,東方アレンジ
双星の冒険録,やどりぎ,NOV,6.0,FLOOR
天泣,"BEMANI Sound Team ""meteorologists""",NOV,7.0,BEMANI
Blessed Horizon,Qutabire,NOV,5.0,FLOOR
めた・メタ？ひまわり＊パンチ,ひまわり＊パンチ,NOV,4.0,BEMANI
#Evil_Signs_of_Bloodlines,RoughSkreamZ,NOV,5.0,FLOOR
555 (Please call me “Go! Go! Go!”),RoughSketch,NOV,7.0,その他
Temporal Veil,Gardens,NOV,6.0,その他
フラッフィー・アドベンチャー！,みーに feat. まより,NOV,4.0,その他
Divine Ether,あまみ×ひなみ,NOV,5.0,FLOOR
Sunlit toybox,Juggernaut. + しーけー,NOV,6.0,FLOOR
マジかる☆doll ユタニケちゃん,Tsubusare BOZZ feat.madoka*,NOV,5.0,FLOOR
シンクロニティ,おめがシスターズ,NOV,3.0,その他
FLOOD_FLOOR,brz1128,NOV,6.0,東方アレンジ
落赤,Acotto feat. 記憶に残る,NOV,4.0,東方アレンジ
ハートビート×スラッガー,あまみ×ひなみ,NOV,5.0,FLOOR
FLAVOR-G,utzbo,NOV,6.0,FLOOR
朱と碧のランページ,covered by 儒烏風亭らでん(ReGLOSS),NOV,4.0,BEMANI
カジノファイヤーことみちゃん,covered by 一条莉々華(ReGLOSS),NOV,5.0,BEMANI
Shooting Star,ReGLOSS,NOV,3.0,その他
murmur twins (guitar pop ver.),covered by 音乃瀬奏(ReGLOSS),NOV,2.0,BEMANI
リメンバーリメンバー,covered by 轟はじめ(ReGLOSS),NOV,1.0,BEMANI
FRENZY HEART,EBIMAYO,NOV,7.0,その他
HOLOGRAPHY,RYOQUCHA,NOV,5.0,その他
Like the Starlight,uma,NOV,6.0,その他
東風に鳴き翠嵐を想う,めと（Metomate）,NOV,5.0,東方アレンジ
Breath of Faith,satie,NOV,4.0,東方アレンジ
焔華,movies(moimoi×Xceon×Dai.),NOV,4.0,BEMANI
オーバーライド,吉田夜世,NOV,4.0,その他
Timepiece phase Ⅱ,佐々木博史,NOV,7.0,BEMANI
ライアーダンサー,マサラダ,NOV,3.0,その他
幻想プロミネンス,deli. vs 駄々子 vs かなたん,NOV,5.0,東方アレンジ
右肩の蝶 (空澄セナ Cover),のりP,NOV,3.0,その他
Misfortune Crawler,Aoi,NOV,6.0,東方アレンジ
// If Summer Ever Comes_,黒魔,NOV,7.0,SDVXオリジナル
ØVER《Δ》,EmoCosine overlay,NOV,7.0,SDVXオリジナル
オムニシエント・ゼロ,ke-ji（CERTIA）,NOV,7.0,SDVXオリジナル
カミツレの成り方,テヅカ feat. 遠山小春,NOV,6.0,SDVXオリジナル
KINGDOM COME,RoughSketch,NOV,8.0,SDVXオリジナル
Grαnd Arχitect,CHUBAY,NOV,6.0,SDVXオリジナル
Lollipop Error 404,Tsubusare BOZZ feat.madoka*,NOV,6.0,SDVXオリジナル
千歳に泡影,Inaori feat.兎角あかり,NOV,3.0,東方アレンジ
Lost Gear Syndrome,polysha vs. モリモリあつし,NOV,6.0,東方アレンジ
EYE OF THE HEAVEN,"BEMANI Sound Team ""U1-ASAMi""",NOV,7.0,BEMANI
Electronic Sports Complex,栄免建設,NOV,7.0,BEMANI
EROICA,"BEMANI Sound Team ""HERO""",NOV,7.0,BEMANI
Secret Rouge,ハレトキドキ,NOV,4.0,BEMANI
Snow Garland Fairy,"BEMANI Sound Team ""KE!JU""",NOV,6.0,BEMANI
ぐしゃ,ポラリスピー,NOV,4.0,その他
Dear Deer,Hylen,NOV,6.0,その他
DISTORDER,DJ Myosuke,NOV,7.0,その他
アイスクリームマジック,雪乃イト,NOV,3.0,ボーカロイド
エクスプロウル,晴いちばん,NOV,4.0,ボーカロイド
惑星ループ (花芽すみれ Cover),ナユタン星人,NOV,3.0,その他
ギャ・ギャ・ギャ・ギャラクシー！,つきみぐー、,NOV,3.0,ボーカロイド
悲報！ワイ！ニート！,Shu,NOV,5.0,ボーカロイド
あおばの足音,駄菓子O型,NOV,3.0,ボーカロイド
覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～,マキシウキョウ,NOV,5.0,ボーカロイド
Windy Fairy,DJ TOTTO,NOV,5.0,BEMANI
