장르,곡 이름,아티스트,난이도 이름,레벨
BEMANI,chaplet,DJ TOTTO,NOV,6
FLOOR,天鯨譚,テヅカ x otoshi.b,NOV,6
BEMANI,Plan 8,Ryu☆,NOV,7
FLOOR,"CAKE,Cake'n Cake!",苺咲べりぃ,NOV,4
SDVXオリジナル,Blue Diamond,青龍改,NOV,7
FLOOR,ИEXTAGE,polysha&Ashrount,NOV,6
その他,イガク,原口沙輔,NOV,3
ボーカロイド,いますぐ輪廻,なきそ,NOV,1
その他,L (SDVX ver.),Ice,NOV,6
その他,L2 -Reminiscence- (SDVX ver.),Ice,NOV,7
その他,お返事まだカナ？おじさん構文！,吉本おじさん,NOV,3
東方アレンジ,稲田姫様に叱られちゃいました＃ ～ Romantic Shortfall,りりぃろっくfeat.ЄИ1GM4&桃寝ちのい,NOV,6
その他,サイエンス,MIMI,NOV,2
その他,Synthesis.,tn-shi,NOV,6
その他,snooze,wotaku feat. SHIKI,NOV,3
その他,777 (Vocal ver.),RoughSketch feat.ななひら,NOV,7
東方アレンジ,Celestial Conquest,xi,NOV,7
FLOOR,"Zany Arcadia ""E""",天束 vs. siromaru,NOV,7
その他,デッドライン症候群,irom,NOV,3
東方アレンジ,Necromantic,暁Records,NOV,3
東方アレンジ,ハートインワンダーランド,森羅万象,NOV,5
FLOOR,Black Out,Hommarju,NOV,6
東方アレンジ,"Help me, ERINNNNNN!!",ビートまりお,NOV,5
FLOOR,Massive Strength,Riz,NOV,5
その他,モンダイナイトリッパー！,名取さな,NOV,4
東方アレンジ,ンポロロッカ,かめりあ,NOV,5
FLOOR,双星の冒険録,やどりぎ,NOV,6
BEMANI,天泣,"BEMANI Sound Team ""meteorologists""",NOV,7
FLOOR,Blessed Horizon,Qutabire,NOV,5
BEMANI,めた・メタ？ひまわり＊パンチ,ひまわり＊パンチ,NOV,4
FLOOR,#Evil_Signs_of_Bloodlines,RoughSkreamZ,NOV,5
その他,555 (Please call me “Go! Go! Go!”),RoughSketch,NOV,7
その他,Temporal Veil,Gardens,NOV,6
その他,フラッフィー・アドベンチャー！,みーに feat. まより,NOV,4
FLOOR,Divine Ether,あまみ×ひなみ,NOV,5
FLOOR,Sunlit toybox,Juggernaut. + しーけー,NOV,6
FLOOR,マジかる☆doll ユタニケちゃん,Tsubusare BOZZ feat.madoka*,NOV,5
その他,シンクロニティ,おめがシスターズ,NOV,3
東方アレンジ,FLOOD_FLOOR,brz1128,NOV,6
東方アレンジ,落赤,Acotto feat. 記憶に残る,NOV,4
FLOOR,ハートビート×スラッガー,あまみ×ひなみ,NOV,5
FLOOR,FLAVOR-G,utzbo,NOV,6
BEMANI,朱と碧のランページ,covered by 儒烏風亭らでん(ReGLOSS),NOV,4
BEMANI,カジノファイヤーことみちゃん,covered by 一条莉々華(ReGLOSS),NOV,5
その他,Shooting Star,ReGLOSS,NOV,3
BEMANI,murmur twins (guitar pop ver.),covered by 音乃瀬奏(ReGLOSS),NOV,2
BEMANI,リメンバーリメンバー,covered by 轟はじめ(ReGLOSS),NOV,1
その他,FRENZY HEART,EBIMAYO,NOV,7
その他,HOLOGRAPHY,RYOQUCHA,NOV,5
その他,Like the Starlight,uma,NOV,6
東方アレンジ,東風に鳴き翠嵐を想う,めと（Metomate）,NOV,5
